Region,Comuna,Poblacion,Fecha
Arica y Parinacota,Arica,247552,6
Arica y Parinacota,Arica,247552,6
Arica y Parinacota,Arica,247552,12
Arica y Parinacota,Arica,247552,41
Arica y Parinacota,Arica,247552,63
Arica y Parinacota,Camarones,1233,-
Arica y Parinacota,Camarones,1233,-
Arica y Parinacota,Camarones,1233,-
Arica y Parinacota,Camarones,1233,-
Arica y Parinacota,Camarones,1233,-
Arica y Parinacota,General Lagos,810,-
Arica y Parinacota,General Lagos,810,-
Arica y Parinacota,General Lagos,810,-
Arica y Parinacota,General Lagos,810,-
Arica y Parinacota,General Lagos,810,-
Arica y Parinacota,Putre,2515,-
Arica y Parinacota,Putre,2515,-
Arica y Parinacota,Putre,2515,-
Arica y Parinacota,Putre,2515,-
Arica y Parinacota,Putre,2515,-
Tarapaca,Alto Hospicio,129999,-
Tarapaca,Alto Hospicio,129999,-
Tarapaca,Alto Hospicio,129999,-
Tarapaca,Alto Hospicio,129999,5
Tarapaca,Alto Hospicio,129999,6
Tarapaca,Camina,1375,-
Tarapaca,Camina,1375,-
Tarapaca,Camina,1375,-
Tarapaca,Camina,1375,-
Tarapaca,Camina,1375,-
Tarapaca,Colchane,1583,-
Tarapaca,Colchane,1583,-
Tarapaca,Colchane,1583,-
Tarapaca,Colchane,1583,-
Tarapaca,Colchane,1583,-
Tarapaca,Huara,3000,-
Tarapaca,Huara,3000,-
Tarapaca,Huara,3000,-
Tarapaca,Huara,3000,-
Tarapaca,Huara,3000,-
Tarapaca,Iquique,223463,5
Tarapaca,Iquique,223463,9
Tarapaca,Iquique,223463,10
Tarapaca,Iquique,223463,13
Tarapaca,Iquique,223463,16
Tarapaca,Pica,5958,-
Tarapaca,Pica,5958,-
Tarapaca,Pica,5958,-
Tarapaca,Pica,5958,-
Tarapaca,Pica,5958,-
Tarapaca,Pozo Almonte,17395,-
Tarapaca,Pozo Almonte,17395,-
Tarapaca,Pozo Almonte,17395,-
Tarapaca,Pozo Almonte,17395,-
Tarapaca,Pozo Almonte,17395,-
Antofagasta,Antofagasta,425725,29
Antofagasta,Antofagasta,425725,32
Antofagasta,Antofagasta,425725,44
Antofagasta,Antofagasta,425725,54
Antofagasta,Antofagasta,425725,60
Antofagasta,Calama,190336,-
Antofagasta,Calama,190336,-
Antofagasta,Calama,190336,5
Antofagasta,Calama,190336,7
Antofagasta,Calama,190336,8
Antofagasta,Maria Elena,6814,-
Antofagasta,Maria Elena,6814,-
Antofagasta,Maria Elena,6814,-
Antofagasta,Maria Elena,6814,-
Antofagasta,Maria Elena,6814,-
Antofagasta,Mejillones,14776,-
Antofagasta,Mejillones,14776,-
Antofagasta,Mejillones,14776,-
Antofagasta,Mejillones,14776,-
Antofagasta,Mejillones,14776,-
Antofagasta,Ollague,287,-
Antofagasta,Ollague,287,-
Antofagasta,Ollague,287,-
Antofagasta,Ollague,287,-
Antofagasta,Ollague,287,-
Antofagasta,San Pedro de Atacama,10434,-
Antofagasta,San Pedro de Atacama,10434,-
Antofagasta,San Pedro de Atacama,10434,-
Antofagasta,San Pedro de Atacama,10434,4
Antofagasta,San Pedro de Atacama,10434,4
Antofagasta,Sierra Gorda,1746,-
Antofagasta,Sierra Gorda,1746,-
Antofagasta,Sierra Gorda,1746,-
Antofagasta,Sierra Gorda,1746,-
Antofagasta,Sierra Gorda,1746,-
Antofagasta,Taltal,13657,-
Antofagasta,Taltal,13657,-
Antofagasta,Taltal,13657,-
Antofagasta,Taltal,13657,-
Antofagasta,Taltal,13657,-
Antofagasta,Tocopilla,28079,-
Antofagasta,Tocopilla,28079,-
Antofagasta,Tocopilla,28079,-
Antofagasta,Tocopilla,28079,-
Antofagasta,Tocopilla,28079,-
Atacama,Alto del Carmen,5729,-
Atacama,Alto del Carmen,5729,-
Atacama,Alto del Carmen,5729,-
Atacama,Alto del Carmen,5729,-
Atacama,Alto del Carmen,5729,-
Atacama,Caldera,19426,-
Atacama,Caldera,19426,-
Atacama,Caldera,19426,-
Atacama,Caldera,19426,-
Atacama,Caldera,19426,-
Atacama,Chanaral,13164,-
Atacama,Chanaral,13164,-
Atacama,Chanaral,13164,-
Atacama,Chanaral,13164,-
Atacama,Chanaral,13164,-
Atacama,Copiapo,171766,-
Atacama,Copiapo,171766,-
Atacama,Copiapo,171766,4
Atacama,Copiapo,171766,4
Atacama,Copiapo,171766,5
Atacama,Diego de Almagro,14358,-
Atacama,Diego de Almagro,14358,-
Atacama,Diego de Almagro,14358,-
Atacama,Diego de Almagro,14358,-
