FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
,,,Afghanistan,2020-09-25 04:23:00,33.93911,67.709953,39256,1455,32619,5182,Afghanistan,100.84169782627006,3.706439779906257
,,,Albania,2020-09-25 04:23:00,41.1533,20.1683,12921,370,7239,5312,Albania,448.9888108972132,2.8635554523643685
,,,Algeria,2020-09-25 04:23:00,28.0339,1.6596,50579,1703,35544,13332,Algeria,115.34275250876014,3.3670100239229717
,,,Andorra,2020-09-25 04:23:00,42.5063,1.5218,1753,53,1203,497,Andorra,2268.8151168057984,3.0233884768967485
,,,Angola,2020-09-25 04:23:00,-11.2027,17.8739,4475,162,1503,2810,Angola,13.615783818229682,3.620111731843576
,,,Antigua and Barbuda,2020-09-25 04:23:00,17.0608,-61.7964,97,3,92,2,Antigua and Barbuda,99.05236500285923,3.0927835051546397
,,,Argentina,2020-09-25 04:23:00,-38.4161,-63.6167,678266,14766,536589,126911,Argentina,1500.7287074630888,2.177021994320812
,,,Armenia,2020-09-25 04:23:00,40.0691,45.0382,48251,945,43266,4040,Armenia,1628.322299217679,1.958508631945452
,,Australian Capital Territory,Australia,2020-09-25 04:23:00,-35.4735,149.0124,113,3,110,0,"Australian Capital Territory, Australia",26.395701938799345,2.6548672566371683
,,New South Wales,Australia,2020-09-25 04:23:00,-33.8688,151.2093,4217,53,0,4164,"New South Wales, Australia",51.94629219019463,1.2568176428740812
,,Northern Territory,Australia,2020-09-25 04:23:00,-12.4634,130.8456,33,0,33,0,"Northern Territory, Australia",13.436482084690551,0.0
,,Queensland,Australia,2020-09-25 04:23:00,-27.4698,153.0251,1153,6,1141,6,"Queensland, Australia",22.53934121786727,0.5203816131830009
,,South Australia,Australia,2020-09-25 04:23:00,-34.9285,138.6007,468,4,462,2,"South Australia, Australia",26.643894107600346,0.8547008547008547
,,Tasmania,Australia,2020-09-25 04:23:00,-42.8821,147.3272,230,13,217,0,"Tasmania, Australia",42.95051353874883,5.652173913043479
,,Victoria,Australia,2020-09-25 04:23:00,-37.8136,144.9631,20118,781,18794,543,"Victoria, Australia",303.44349085204897,3.882095635749081
,,Western Australia,Australia,2020-09-25 04:23:00,-31.9505,115.8605,668,9,650,9,"Western Australia, Australia",25.39344636204668,1.3473053892215572
,,,Austria,2020-09-25 04:23:00,47.5162,14.5501,40816,783,31661,8372,Austria,453.18884348907443,1.9183653469227755
,,,Azerbaijan,2020-09-25 04:23:00,40.1431,47.5769,39686,581,37255,1850,Azerbaijan,391.4125163043344,1.4639923398679635
,,,Bahamas,2020-09-25 04:23:00,25.025885,-78.035889,3699,86,1962,1651,Bahamas,940.6277972170233,2.3249526899161936
,,,Bahrain,2020-09-25 04:23:00,26.0275,50.55,67701,231,60853,6617,Bahrain,3978.7068864698335,0.3412061860238401
,,,Bangladesh,2020-09-25 04:23:00,23.685,90.3563,355384,5072,265092,85220,Bangladesh,215.7904738765097,1.4271886185084304
,,,Barbados,2020-09-25 04:23:00,13.1939,-59.5432,189,7,174,8,Barbados,65.76864053784132,3.703703703703704
,,,Belarus,2020-09-25 04:23:00,53.7098,27.9534,76651,802,73733,2116,Belarus,811.1799779052907,1.0463007658086652
,,,Belgium,2020-09-25 04:23:00,50.8333,4.469936,108768,9965,19123,79680,Belgium,946.4143185191288,9.161701971167993
,,,Belize,2020-09-25 04:23:00,17.1899,-88.4976,1706,22,1019,665,Belize,429.05178549422686,1.2895662368112544
,,,Benin,2020-09-25 04:23:00,9.3077,2.3158,2325,40,1954,331,Benin,19.178107954683245,1.7204301075268815
,,,Bhutan,2020-09-25 04:23:00,27.5142,90.4336,263,0,198,65,Bhutan,34.08448805876529,0.0
,,,Bolivia,2020-09-25 04:23:00,-16.2902,-63.5887,132618,7765,92101,32752,Bolivia,1136.1061469135389,5.855162949222579
,,,Bosnia and Herzegovina,2020-09-25 04:23:00,43.9159,17.6791,26316,802,19142,6372,Bosnia and Herzegovina,802.117766469612,3.0475756193950447
,,,Botswana,2020-09-25 04:23:00,-22.3285,24.6849,2921,16,701,2204,Botswana,124.2119810769149,0.5477576172543649
,,Acre,Brazil,2020-09-25 04:23:00,-9.0238,-70.812,27556,653,24671,2232,"Acre, Brazil",3124.493301660553,2.369719843228335
,,Alagoas,Brazil,2020-09-25 04:23:00,-9.5713,-36.782,85753,2040,82534,1179,"Alagoas, Brazil",2569.4883705878633,2.3789255186407474
,,Amapa,Brazil,2020-09-25 04:23:00,0.902,-52.003,47516,698,35056,11762,"Amapa, Brazil",5618.33490790807,1.4689788702752755
,,Amazonas,Brazil,2020-09-25 04:23:00,-3.4168,-65.8561,134289,3992,112632,17665,"Amazonas, Brazil",3240.0978913028216,2.972693221336073
,,Bahia,Brazil,2020-09-25 04:23:00,-12.5797,-41.7007,301248,6455,287486,7307,"Bahia, Brazil",2025.4602548607334,2.1427528149564483
,,Ceara,Brazil,2020-09-25 04:23:00,-5.4984,-39.3206,237147,8891,210648,17578,"Ceara, Brazil",2596.429859666113,3.745972299542824
,,Distrito Federal,Brazil,2020-09-25 04:23:00,-15.7998,-47.8645,186945,3164,174838,8943,"Distrito Federal, Brazil",6199.946406090603,1.6924763968011982
