FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
,,,Afghanistan,2022-11-23 04:21:06,33.93911,67.709953,205324,7833,,,Afghanistan,527.4409202282727,3.814946133915178
,,,Albania,2022-11-23 04:21:06,41.1533,20.1683,333282,3594,,,Albania,11581.138369587881,1.0783660683745298
,,,Algeria,2022-11-23 04:21:06,28.0339,1.6596,271035,6881,,,Algeria,618.0810796222112,2.538786503588097
,,,Andorra,2022-11-23 04:21:06,42.5063,1.5218,46824,156,,,Andorra,60601.82488837119,0.3331624807790877
,,,Angola,2022-11-23 04:21:06,-11.2027,17.8739,103131,1917,,,Angola,313.78981026990954,1.858800942490619
,,,Antarctica,2022-11-23 04:21:06,-71.9499,23.346999999999998,11,0,,,Antarctica,,0.0
,,,Antigua and Barbuda,2022-11-23 04:21:06,17.0608,-61.7964,9106,146,,,Antigua and Barbuda,9298.668409443671,1.6033384581594552
,,,Argentina,2022-11-23 04:21:06,-38.4161,-63.6167,9723924,130017,,,Argentina,21515.116334873503,1.3370836711599146
,,,Armenia,2022-11-23 04:21:06,40.0691,45.0382,445631,8709,,,Armenia,15038.670587607998,1.9543074875850202
,,Australian Capital Territory,Australia,2022-11-23 04:21:06,-35.4735,149.0124,212092,129,,,"Australian Capital Territory, Australia",49542.630226582565,0.06082266186371953
,,New South Wales,Australia,2022-11-23 04:21:06,-33.8688,151.2093,3608974,5515,,,"New South Wales, Australia",44456.442473515635,0.1528135143118238
,,Northern Territory,Australia,2022-11-23 04:21:06,-12.4634,130.8456,99410,79,,,"Northern Territory, Australia",40476.38436482085,0.0794688663112363
,,Queensland,Australia,2022-11-23 04:21:06,-27.4698,153.0251,1683096,2317,,,"Queensland, Australia",32901.8864236145,0.13766297347269554
,,South Australia,Australia,2022-11-23 04:21:06,-34.9285,138.6007,800347,1060,,,"South Australia, Australia",45564.87332764018,0.13244255304261776
,,Tasmania,Australia,2022-11-23 04:21:06,-42.8821,147.3272,258301,201,,,"Tasmania, Australia",48235.48085901028,0.07781619118780027
,,Victoria,Australia,2022-11-23 04:21:06,-37.8136,144.9631,2707003,5978,,,"Victoria, Australia",40830.223683615135,0.22083462781533675
,,Western Australia,Australia,2022-11-23 04:21:06,-31.9505,115.8605,1198725,735,,,"Western Australia, Australia",45568.50148255152,0.061315147344053064
,,,Austria,2022-11-23 04:21:06,47.5162,14.5501,5524683,21149,,,Austria,61341.74586960384,0.3828092942165188
,,,Azerbaijan,2022-11-23 04:21:06,40.1431,47.5769,824033,9975,,,Azerbaijan,8127.219423671058,1.2105097732736432
,,,Bahamas,2022-11-23 04:21:06,25.025885,-78.035889,37461,833,,,Bahamas,9526.049719261127,2.223645925095433
,,,Bahrain,2022-11-23 04:21:06,26.0275,50.55,695279,1535,,,Bahrain,40860.71616841494,0.22077468181837795
,,,Bangladesh,2022-11-23 04:21:06,23.685,90.3563,2036416,29431,,,Bangladesh,1236.5192964503365,1.445235158238788
,,,Barbados,2022-11-23 04:21:06,13.1939,-59.5432,103545,564,,,Barbados,36031.819494660216,0.5446907141822396
,,,Belarus,2022-11-23 04:21:06,53.7098,27.9534,994037,7118,,,Belarus,10519.665910386577,0.7160699249625517
,,Antwerp,Belgium,2022-11-23 04:21:06,51.2195,4.4024,746467,0,,,"Antwerp, Belgium",40176.13695689849,0.0
,,Brussels,Belgium,2022-11-23 04:21:06,50.8503,4.3517,497416,0,,,"Brussels, Belgium",41158.35444692861,0.0
,,East Flanders,Belgium,2022-11-23 04:21:06,51.0362,3.7373,626720,0,,,"East Flanders, Belgium",41365.90929492087,0.0
,,Flemish Brabant,Belgium,2022-11-23 04:21:06,50.9167,4.5833,452751,0,,,"Flemish Brabant, Belgium",39501.03605470368,0.0
,,Hainaut,Belgium,2022-11-23 04:21:06,50.5257,4.0621,508589,0,,,"Hainaut, Belgium",37834.6591124657,0.0
,,Liege,Belgium,2022-11-23 04:21:06,50.4496,5.8492,412621,0,,,"Liege, Belgium",37274.07244135459,0.0
,,Limburg,Belgium,2022-11-23 04:21:06,50.9739,5.3420000000000005,342560,0,,,"Limburg, Belgium",39192.355568572886,0.0
,,Luxembourg,Belgium,2022-11-23 04:21:06,50.0547,5.4677,121029,0,,,"Luxembourg, Belgium",42520.3240607368,0.0
,,Namur,Belgium,2022-11-23 04:21:06,50.331,4.8221,199251,0,,,"Namur, Belgium",40307.69230769231,0.0
,,Unknown,Belgium,2022-11-23 04:21:06,,,62203,33027,,,"Unknown, Belgium",,53.09550986286835
,,Walloon Brabant,Belgium,2022-11-23 04:21:06,50.4,4.35,170388,0,,,"Walloon Brabant, Belgium",42217.151182237816,0.0
,,West Flanders,Belgium,2022-11-23 04:21:06,51.0536,3.1458,489557,0,,,"West Flanders, Belgium",40939.84258184506,0.0
,,,Belize,2022-11-23 04:21:06,17.1899,-88.4976,69012,688,,,Belize,17356.226155057204,0.996928070480496
,,,Benin,2022-11-23 04:21:06,9.3077,2.3158,27922,163,,,Benin,230.31876572501744,0.5837690709834539
,,,Bhutan,2022-11-23 04:21:06,27.5142,90.4336,62488,21,,,Bhutan,8098.370683711501,0.03360645243886826
,,,Bolivia,2022-11-23 04:21:06,-16.2902,-63.5887,1110256,22244,,,Bolivia,9511.293084254308,2.0035018950584367
,,,Bosnia and Herzegovina,2022-11-23 04:21:06,43.9159,17.6791,400412,16197,,,Bosnia and Herzegovina,12204.650368887,4.045083563929153
,,,Botswana,2022-11-23 04:21:06,-22.3285,24.6849,326344,2790,,,Botswana,13877.382660925958,0.8549260902605841
,,Acre,Brazil,2022-11-23 04:21:06,-9.0238,-70.812,152966,2029,,,"Acre, Brazil",17344.362112854124,1.3264385549730004
,,Alagoas,Brazil,2022-11-23 04:21:06,-9.5713,-36.782,322621,7137,,,"Alagoas, Brazil",9666.961011363184,2.2121932546238465
,,Amapa,Brazil,2022-11-23 04:21:06,0.902,-52.003,180171,2165,,,"Amapa, Brazil",21303.582344740826,1.2016362233655804
,,Amazonas,Brazil,2022-11-23 04:21:06,-3.4168,-65.8561,622593,14385,,,"Amazonas, Brazil",15021.798259275869,2.3104981906317605
,,Bahia,Brazil,2022-11-23 04:21:06,-12.5797,-41.7007,1709861,30816,,,"Bahia, Brazil",11496.360131308518,1.8022517619853309
,,Ceara,Brazil,2022-11-23 04:21:06,-5.4984,-39.3206,1390807,28016,,,"Ceara, Brazil",15229.90714709182,2.014370074352516
,,Distrito Federal,Brazil,2022-11-23 04:21:06,-15.7998,-47.8645,848144,11833,,,"Distrito Federal, Brazil",28128.312309220943,1.3951640287498348
,,Espirito Santo,Brazil,2022-11-23 04:21:06,-19.1834,-40.3089,1225897,14840,,,"Espirito Santo, Brazil",30505.19453050154,1.2105421581095313
,,Goias,Brazil,2022-11-23 04:21:06,-15.827,-49.8362,1739466,27595,,,"Goias, Brazil",24784.529250020732,1.5864064028845637
,,Maranhao,Brazil,2022-11-23 04:21:06,-4.9609,-45.2744,477062,11000,,,"Maranhao, Brazil",6742.753294933374,2.3057799615144363
,,Mato Grosso,Brazil,2022-11-23 04:21:06,-12.6819,-56.9211,833922,14963,,,"Mato Grosso, Brazil",23932.56240698001,1.794292511769686
,,Mato Grosso do Sul,Brazil,2022-11-23 04:21:06,-20.7722,-54.7852,583685,10848,,,"Mato Grosso do Sul, Brazil",21003.5243070674,1.8585367107258195
,,Minas Gerais,Brazil,2022-11-23 04:21:06,-18.5122,-44.555,3894815,63916,,,"Minas Gerais, Brazil",18398.854237825864,1.6410535545333989
,,Para,Brazil,2022-11-23 04:21:06,-1.9981,-54.9306,849194,18906,,,"Para, Brazil",9871.060396739924,2.2263463943456974
,,Paraiba,Brazil,2022-11-23 04:21:06,-7.24,-36.782,662116,10423,,,"Paraiba, Brazil",16478.224804741116,1.5741954581976572
,,Parana,Brazil,2022-11-23 04:21:06,-25.2521,-52.0215,2763298,45471,,,"Parana, Brazil",24167.46888238253,1.6455337064623503
,,Pernambuco,Brazil,2022-11-23 04:21:06,-8.8137,-36.9541,1076289,22448,,,"Pernambuco, Brazil",11261.70350727749,2.08568516448649
,,Piaui,Brazil,2022-11-23 04:21:06,-7.7183,-42.7289,405311,7964,,,"Piaui, Brazil",12382.61202171435,1.964910895583885
,,Rio Grande do Norte,Brazil,2022-11-23 04:21:06,-5.4026,-36.9541,559242,8486,,,"Rio Grande do Norte, Brazil",15947.118399316994,1.5174110671229986
,,Rio Grande do Sul,Brazil,2022-11-23 04:21:06,-30.0346,-51.2177,2756039,41239,,,"Rio Grande do Sul, Brazil",24224.146121919388,1.4963140942490292
,,Rio de Janeiro,Brazil,2022-11-23 04:21:06,-22.9068,-43.1729,2602894,76010,,,"Rio de Janeiro, Brazil",15076.180674329478,2.920211118854629
,,Rondonia,Brazil,2022-11-23 04:21:06,-11.5057,-63.5806,458454,7364,,,"Rondonia, Brazil",25796.058461928,1.6062680225278871
,,Roraima,Brazil,2022-11-23 04:21:06,-2.7376,-62.0751,177522,2175,,,"Roraima, Brazil",29305.61723187858,1.225200256869571
,,Santa Catarina,Brazil,2022-11-23 04:21:06,-27.2423,-50.2189,1895690,22437,,,"Santa Catarina, Brazil",26458.424171098988,1.183579593709942
,,Sao Paulo,Brazil,2022-11-23 04:21:06,-23.5505,-46.6333,6174756,176037,,,"Sao Paulo, Brazil",13447.046780084664,2.8509142709444717
,,Sergipe,Brazil,2022-11-23 04:21:06,-10.5741,-37.3857,344020,6444,,,"Sergipe, Brazil",14965.876305522783,1.8731469100633684
,,Tocantins,Brazil,2022-11-23 04:21:06,-10.1753,-48.2982,345317,4208,,,"Tocantins, Brazil",21954.635677800907,1.218590454567832
,,,Brunei,2022-11-23 04:21:06,4.5353,114.7277,248861,225,,,Brunei,56884.72466358692,0.0904119166924508
,,,Bulgaria,2022-11-23 04:21:06,42.7339,25.4858,1285855,38015,,,Bulgaria,18505.6512644196,2.9563986608132327
,,,Burkina Faso,2022-11-23 04:21:06,12.2383,-1.5616,21631,387,,,Burkina Faso,103.48137741841258,1.7890989783181546
