FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key
,,,Afghanistan,2021-03-30 04:26:23,33.93911,67.709953,56322,2472,50666.0,3184.0,Afghanistan
,,,Albania,2021-03-30 04:26:23,41.1533,20.1683,124419,2216,90024.0,32179.0,Albania
,,,Algeria,2021-03-30 04:26:23,28.0339,1.6596,116946,3084,81349.0,32513.0,Algeria
,,,Andorra,2021-03-30 04:26:23,42.5063,1.5218,11888,115,11244.0,529.0,Andorra
,,,Angola,2021-03-30 04:26:23,-11.2027,17.8739,22132,534,20380.0,1218.0,Angola
,,,Antigua and Barbuda,2021-03-30 04:26:23,17.0608,-61.7964,1136,28,820.0,288.0,Antigua and Barbuda
,,,Argentina,2021-03-30 04:26:23,-38.4161,-63.6167,2322611,55611,2088256.0,178744.0,Argentina
,,,Armenia,2021-03-30 04:26:23,40.0691,45.0382,190741,3476,172096.0,15169.0,Armenia
,,Australian Capital Territory,Australia,2021-03-30 04:26:23,-35.4735,149.0124,123,3,120.0,0.0,"Australian Capital Territory, Australia"
,,New South Wales,Australia,2021-03-30 04:26:23,-33.8688,151.2093,5288,54,0.0,5234.0,"New South Wales, Australia"
,,Northern Territory,Australia,2021-03-30 04:26:23,-12.4634,130.8456,108,0,106.0,2.0,"Northern Territory, Australia"
,,Queensland,Australia,2021-03-30 04:26:23,-27.4698,153.0251,1466,6,1343.0,117.0,"Queensland, Australia"
,,South Australia,Australia,2021-03-30 04:26:23,-34.9285,138.6007,655,4,633.0,18.0,"South Australia, Australia"
,,Tasmania,Australia,2021-03-30 04:26:23,-42.8821,147.3272,234,13,221.0,0.0,"Tasmania, Australia"
,,Victoria,Australia,2021-03-30 04:26:23,-37.8136,144.9631,20484,820,19664.0,0.0,"Victoria, Australia"
,,Western Australia,Australia,2021-03-30 04:26:23,-31.9505,115.8605,938,9,918.0,11.0,"Western Australia, Australia"
,,,Austria,2021-03-30 04:26:23,47.5162,14.5501,539541,9275,494377.0,35889.0,Austria
,,,Azerbaijan,2021-03-30 04:26:23,40.1431,47.5769,257330,3513,236500.0,17317.0,Azerbaijan
,,,Bahamas,2021-03-30 04:26:23,25.025885,-78.035889,9000,188,7841.0,971.0,Bahamas
,,,Bahrain,2021-03-30 04:26:23,26.0275,50.55,142669,515,133753.0,8401.0,Bahrain
,,,Bangladesh,2021-03-30 04:26:23,23.685,90.3563,600895,8949,537718.0,54228.0,Bangladesh
,,,Barbados,2021-03-30 04:26:23,13.1939,-59.5432,3634,41,3444.0,149.0,Barbados
,,,Belarus,2021-03-30 04:26:23,53.7098,27.9534,319599,2227,310189.0,7183.0,Belarus
,,Antwerp,Belgium,2021-03-30 04:26:23,51.2195,4.4024,110855,0,0.0,110855.0,"Antwerp, Belgium"
,,Brussels,Belgium,2021-03-30 04:26:23,50.8503,4.3517,108643,0,0.0,108643.0,"Brussels, Belgium"
,,East Flanders,Belgium,2021-03-30 04:26:23,51.0362,3.7373,98528,0,0.0,98528.0,"East Flanders, Belgium"
,,Flemish Brabant,Belgium,2021-03-30 04:26:23,50.9167,4.5833,67367,0,0.0,67367.0,"Flemish Brabant, Belgium"
