"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Reported1st case,Primer caso
World,111053930,"+226,082",2457468.0,"+5,956",85974947.0,22621515.0,95252.0,14247.0,315.3,,,,
USA,28544620,"+21,096",505964.0,+655,18708770.0,9329886.0,18090.0,85917.0,1523.0,341873626.0,,Jan 20,20-01-2020
India,10976388,"+14,199",156237.0,+114,10675478.0,144673.0,8944.0,7905.0,113.0,209474862.0,,Jan 29,29-01-2020
Brazil,10030626,,243610.0,,8995246.0,791770.0,8318.0,46978.0,1141.0,28600000.0,,Feb 24,24-02-2020
Russia,4139031,"+13,433",82396.0,+470,3679949.0,376686.0,2300.0,28355.0,564.0,108300000.0,,Jan 30,30-01-2020
UK,4095269,"+12,027",119920.0,+533,2331001.0,1644348.0,2535.0,60125.0,1761.0,84710387.0,,Jan 30,30-01-2020
France,3536648,,83393.0,,247127.0,3206128.0,3394.0,54106.0,1276.0,49251253.0,,Jan 23,23-01-2020
Spain,3133122,"+11,435",67101.0,+397,2471986.0,594035.0,3739.0,66995.0,1435.0,37334915.0,,Jan 30,30-01-2020
Italy,2780882,"+15,479",95235.0,+348,2303199.0,382448.0,2059.0,46037.0,1577.0,37501875.0,,Jan 29,29-01-2020
Turkey,2624019,"+7,419",27903.0,+82,2511548.0,84568.0,1185.0,30902.0,329.0,32098166.0,,Mar 09,09-03-2020
Germany,2373892,"+1,683",67638.0,+91,2176300.0,129954.0,3177.0,28276.0,806.0,42872730.0,,Jan 26,26-01-2020
Colombia,2212525,,58334.0,,2105445.0,48746.0,3482.0,43191.0,1139.0,11033945.0,,Mar 05,05-03-2020
Argentina,2046795,,50857.0,,1849451.0,146487.0,3573.0,45025.0,1119.0,7002049.0,,Mar 02,02-03-2020
Mexico,2022662,"+9,099",178108.0,"+1,047",1577838.0,266716.0,4798.0,15584.0,1372.0,5203847.0,,Feb 27,27-02-2020
Poland,1623218,"+8,777",41823.0,+241,1365216.0,216179.0,1306.0,42919.0,1106.0,9440073.0,,Mar 03,03-03-2020
Iran,1558159,"+8,017",59341.0,+77,1331162.0,167656.0,3669.0,18402.0,701.0,10274529.0,,Feb 18,18-02-2020
South Africa,1498766,,48708.0,,1403214.0,46844.0,546.0,25071.0,815.0,8807299.0,,Mar 04,04-03-2020
Ukraine,1293672,"+6,531",24972.0,+120,1139977.0,128723.0,177.0,29695.0,573.0,6596588.0,,Mar 02,02-03-2020
Indonesia,1263299,"+10,614",34152.0,+183,1069005.0,160142.0,,4588.0,124.0,10277568.0,,Mar 01,01-03-2020
Peru,1261804,,44489.0,,1163153.0,54162.0,2079.0,37935.0,1338.0,7109157.0,,Mar 05,05-03-2020
Czechia,1134957,"+11,553",18913.0,+90,1003739.0,112305.0,1258.0,105857.0,1764.0,7314796.0,,Feb 29,29-02-2020
Netherlands,1047400,"+4,726",15138.0,+49,,,510.0,61041.0,882.0,6970400.0,,Feb 26,26-02-2020
Canada,837497,,21498.0,,783412.0,32587.0,594.0,22067.0,566.0,23371443.0,,Jan 24,24-01-2020
Portugal,794769,"+1,940",15821.0,+67,691866.0,87082.0,669.0,78089.0,1554.0,7939693.0,,Mar 01,01-03-2020
Chile,791939,"+3,797",19897.0,+99,748920.0,23122.0,1556.0,41203.0,1035.0,8935296.0,,Mar 02,02-03-2020
Romania,774555,"+2,712",19738.0,+79,719693.0,35124.0,949.0,40435.0,1030.0,5831513.0,,Feb 25,25-02-2020
Belgium,746302,"+2,420",21821.0,+28,51232.0,673249.0,315.0,64216.0,1878.0,9047994.0,,Feb 03,03-02-2020
Israel,744513,"+2,579",5526.0,+17,693730.0,45257.0,872.0,80947.0,601.0,11590243.0,,Feb 20,20-02-2020
Iraq,661477,"+4,024",13232.0,+12,614529.0,33716.0,324.0,16216.0,324.0,6470846.0,,Feb 21,21-02-2020
Sweden,631166,,12649.0,+33,,,207.0,62250.0,1248.0,5708037.0,,Jan 30,30-01-2020
Pakistan,568506,"+1,245",12527.0,+39,531840.0,24139.0,1626.0,2543.0,56.0,8602515.0,,Feb 25,25-02-2020
Philippines,557058,"+1,901",11829.0,+157,512789.0,32440.0,785.0,5041.0,107.0,8480689.0,,Jan 29,29-01-2020
Switzerland,547775,"+1,021",9880.0,+4,495207.0,42688.0,187.0,63000.0,1136.0,4857927.0,,Feb 24,24-02-2020
Bangladesh,542674,+406,8337.0,+8,490468.0,43869.0,,3274.0,50.0,3922489.0,,Mar 07,07-03-2020
Morocco,480504,+448,8540.0,+16,463271.0,8693.0,271.0,12921.0,230.0,5569727.0,,Mar 01,01-03-2020
Austria,441659,"+1,818",8348.0,+36,417654.0,15657.0,260.0,48861.0,924.0,4997284.0,,Feb 24,24-02-2020
Serbia,431680,"+2,632",4306.0,+14,31536.0,395838.0,152.0,49534.0,494.0,2824207.0,,Mar 05,05-03-2020
Japan,421967,"+1,559",7274.0,+78,395492.0,19201.0,547.0,3343.0,58.0,7825811.0,,Jan 14,14-01-2020
Hungary,397116,"+3,093",14145.0,+110,302689.0,80282.0,352.0,41175.0,1467.0,3457538.0,,Mar 03,03-03-2020
Saudi Arabia,374366,+337,6454.0,+4,365363.0,2549.0,497.0,10649.0,184.0,13257732.0,,Mar 01,01-03-2020
UAE,365017,"+3,140",1093.0,+20,351715.0,12209.0,,36626.0,110.0,28997070.0,,Jan 28,28-01-2020
Jordan,357611,+867,4528.0,+16,332892.0,20191.0,170.0,34830.0,441.0,4328210.0,,Mar 01,01-03-2020
Lebanon,351065,"+2,255",4257.0,+51,260390.0,86418.0,922.0,51582.0,625.0,2877894.0,,Feb 20,20-02-2020
Panama,334463,,5694.0,,317432.0,11337.0,210.0,76753.0,1307.0,1820681.0,,Mar 09,09-03-2020
Slovakia,287752,"+2,333",6350.0,+79,255300.0,26102.0,620.0,52689.0,1163.0,1948313.0,,Mar 05,05-03-2020
Malaysia,277811,"+2,936",1043.0,+13,239971.0,36797.0,220.0,8514.0,32.0,5765706.0,,Jan 24,24-01-2020
Belarus,275322,"+1,663",1894.0,+9,264976.0,8452.0,,29143.0,200.0,4753338.0,,Feb 27,27-02-2020
Nepal,273263,+97,2061.0,+3,269619.0,1583.0,,9273.0,70.0,2134261.0,,Jan 23,23-01-2020
Ecuador,271276,"+1,416",15474.0,+30,230377.0,25425.0,498.0,15230.0,869.0,959402.0,,Feb 28,28-02-2020
Georgia,267701,+388,3406.0,+7,260597.0,3698.0,,67189.0,855.0,2529479.0,,Feb 25,25-02-2020
Bolivia,239524,"+1,029",11353.0,+50,182534.0,45637.0,71.0,20344.0,964.0,659496.0,,Mar 09,09-03-2020
Croatia,239254,+388,5407.0,+8,231534.0,2313.0,73.0,58510.0,1322.0,1293415.0,,Feb 24,24-02-2020
Bulgaria,234428,,9786.0,,199632.0,25010.0,300.0,33901.0,1415.0,1567390.0,,Mar 06,06-03-2020
Dominican Republic,233598,+818,3024.0,+17,182603.0,47971.0,236.0,21398.0,277.0,1165107.0,,Feb 29,29-02-2020
Azerbaijan,232829,+193,3193.0,+3,227472.0,2164.0,,22833.0,313.0,2535825.0,,Feb 27,27-02-2020
Tunisia,226015,,7684.0,,186173.0,32158.0,289.0,18998.0,646.0,941428.0,,Mar 01,01-03-2020
Ireland,213400,+753,4109.0,+27,23364.0,185927.0,151.0,42914.0,826.0,3377990.0,,Feb 28,28-02-2020
Denmark,206617,+552,2327.0,+8,198619.0,5671.0,51.0,35592.0,401.0,15748421.0,,Feb 26,26-02-2020
Kazakhstan,205825,+901,2540.0,,189750.0,13535.0,221.0,10879.0,134.0,6399596.0,,Mar 12,12-03-2020
Costa Rica,201241,,2756.0,,168307.0,30178.0,153.0,39277.0,538.0,645809.0,,Mar 04,04-03-2020
Lithuania,192986,+663,3145.0,+13,178126.0,11715.0,158.0,71531.0,1166.0,2058431.0,,Feb 27,27-02-2020
Slovenia,183394,+910,3762.0,+7,168432.0,11200.0,115.0,88208.0,1809.0,878074.0,,Mar 03,03-03-2020
Kuwait,182460,+976,1034.0,+7,170326.0,11100.0,148.0,42329.0,240.0,1718097.0,,Feb 23,23-02-2020
Greece,177494,"+1,435",6249.0,+28,157725.0,13520.0,320.0,17082.0,601.0,4876069.0,,Feb 25,25-02-2020
Egypt,176333,,10201.0,,136490.0,29642.0,90.0,1703.0,99.0,1000000.0,,Feb 13,13-02-2020
Moldova,175183,"+1,028",3739.0,+22,160619.0,10825.0,296.0,43491.0,928.0,684825.0,,Mar 06,06-03-2020
